,Test Accuracy,Epoch,Method
0,2.06,1,HRank
1,1.2120000000000002,1,Calim
2,6.4350000000000005,2,HRank
3,3.213,2,Calim
4,7.48,3,HRank
5,5.5840000000000005,3,Calim
6,8.856,4,HRank
7,8.167,4,Calim
8,12.276,5,HRank
9,10.011,5,Calim
10,13.54,6,HRank
11,12.242999999999999,6,Calim
12,15.69,7,HRank
13,12.731,7,Calim
14,16.922,8,HRank
15,13.862000000000002,8,Calim
16,16.974,9,HRank
17,16.072,9,Calim
18,18.145,10,HRank
19,17.381999999999998,10,Calim
20,19.691,11,HRank
21,21.468,11,Calim
22,21.426000000000002,12,HRank
23,23.039,12,Calim
24,22.012,13,HRank
25,23.473,13,Calim
26,22.516000000000002,14,HRank
27,24.912000000000003,14,Calim
28,22.846999999999998,15,HRank
29,25.026999999999997,15,Calim
30,23.593,16,HRank
31,25.22,16,Calim
32,23.613999999999997,17,HRank
33,25.592,17,Calim
34,25.007,18,HRank
35,26.432000000000002,18,Calim
36,25.150000000000002,19,HRank
37,27.757,19,Calim
38,26.014,20,HRank
39,28.313,20,Calim
40,26.509,21,HRank
41,28.708000000000002,21,Calim
42,27.034,22,HRank
43,29.297,22,Calim
44,27.528,23,HRank
45,29.041999999999998,23,Calim
46,27.949,24,HRank
47,29.667,24,Calim
48,28.463,25,HRank
49,30.151,25,Calim
50,28.792,26,HRank
51,30.923000000000002,26,Calim
52,29.026,27,HRank
53,31.209,27,Calim
54,29.444,28,HRank
55,31.34,28,Calim
56,29.964,29,HRank
57,31.927999999999997,29,Calim
58,30.168,30,HRank
59,32.474000000000004,30,Calim
60,30.543,31,HRank
61,32.314,31,Calim
62,31.018,32,HRank
63,32.55,32,Calim
64,31.446,33,HRank
65,33.817,33,Calim
66,31.795,34,HRank
67,33.892,34,Calim
68,31.933,35,HRank
69,34.03,35,Calim
70,31.987,36,HRank
71,34.101,36,Calim
72,32.055,37,HRank
73,34.357,37,Calim
74,32.260999999999996,38,HRank
75,34.528999999999996,38,Calim
76,32.458,39,HRank
77,34.638,39,Calim
78,32.458,40,HRank
79,34.626999999999995,40,Calim
80,32.644,41,HRank
81,34.967999999999996,41,Calim
82,32.745999999999995,42,HRank
83,34.75599999999999,42,Calim
84,32.757999999999996,43,HRank
85,35.318,43,Calim
86,32.885999999999996,44,HRank
87,34.30799999999999,44,Calim
88,32.794999999999995,45,HRank
89,35.303,45,Calim
90,32.881,46,HRank
91,35.311,46,Calim
92,33.042,47,HRank
93,35.534,47,Calim
94,32.67,48,HRank
95,35.284,48,Calim
96,32.942,49,HRank
97,34.513,49,Calim
98,32.992,50,HRank
99,35.004,50,Calim
