,Value,Layer,Method
0,31.465909957885742,conv1,HRank
1,31.482954025268555,conv1,HRank
2,26.471590042114258,conv1,HRank
3,19.698863983154297,conv1,HRank
4,20.198863983154297,conv1,HRank
5,30.61931800842285,conv1,HRank
6,21.892045974731445,conv1,HRank
7,30.971590042114258,conv1,HRank
8,15.017045021057129,conv1,HRank
9,29.022727966308594,conv1,HRank
10,28.204545974731445,conv1,HRank
11,31.590909957885742,conv1,HRank
12,18.664772033691406,conv1,HRank
13,0.0,conv1,HRank
14,0.05681818351149559,conv1,HRank
15,20.823863983154297,conv1,HRank
16,10.755681991577148,conv1,HRank
17,31.602272033691406,conv1,HRank
18,25.073863983154297,conv1,HRank
19,14.096590995788574,conv1,HRank
20,23.6875,conv1,HRank
21,22.99431800842285,conv1,HRank
22,23.420454025268555,conv1,HRank
23,30.590909957885742,conv1,HRank
24,31.022727966308594,conv1,HRank
25,29.022727966308594,conv1,HRank
26,29.363636016845703,conv1,HRank
27,22.43181800842285,conv1,HRank
28,30.988636016845703,conv1,HRank
29,31.539772033691406,conv1,HRank
30,31.125,conv1,HRank
31,30.971590042114258,conv1,HRank
32,31.613636016845703,conv1,HRank
33,0.0,conv1,HRank
34,22.392045974731445,conv1,HRank
35,0.0,conv1,HRank
36,30.897727966308594,conv1,HRank
37,0.0,conv1,HRank
38,30.039772033691406,conv1,HRank
39,30.539772033691406,conv1,HRank
40,31.05681800842285,conv1,HRank
41,29.30681800842285,conv1,HRank
42,30.926136016845703,conv1,HRank
43,22.801136016845703,conv1,HRank
44,30.403409957885742,conv1,HRank
45,21.56818199157715,conv1,HRank
46,24.05681800842285,conv1,HRank
47,31.011363983154297,conv1,HRank
48,0.0,conv1,HRank
49,31.573863983154297,conv1,HRank
50,0.0,conv1,HRank
51,14.829545021057129,conv1,HRank
52,31.159090042114258,conv1,HRank
53,0.0,conv1,HRank
54,31.215909957885742,conv1,HRank
55,14.193181991577148,conv1,HRank
56,15.630681991577148,conv1,HRank
57,31.5,conv1,HRank
58,20.960227966308594,conv1,HRank
59,30.30681800842285,conv1,HRank
60,18.664772033691406,conv1,HRank
61,24.11931800842285,conv1,HRank
62,20.99431800842285,conv1,HRank
63,29.767045974731445,conv1,HRank
64,14.539772987365723,conv2,HRank
65,15.647727012634277,conv2,HRank
66,15.943181991577148,conv2,HRank
67,15.477272987365723,conv2,HRank
68,15.852272987365723,conv2,HRank
69,15.295454978942871,conv2,HRank
70,15.261363983154297,conv2,HRank
71,13.710227012634277,conv2,HRank
72,15.954545021057129,conv2,HRank
73,15.585227012634277,conv2,HRank
74,15.613636016845703,conv2,HRank
75,15.795454978942871,conv2,HRank
76,15.403409004211426,conv2,HRank
77,15.965909004211426,conv2,HRank
78,15.426136016845703,conv2,HRank
79,15.460227012634277,conv2,HRank
80,14.625,conv2,HRank
81,15.914772987365723,conv2,HRank
82,15.318181991577148,conv2,HRank
83,14.471590995788574,conv2,HRank
84,15.988636016845703,conv2,HRank
85,15.948863983154297,conv2,HRank
86,14.960227012634277,conv2,HRank
87,15.710227012634277,conv2,HRank
88,15.988636016845703,conv2,HRank
89,15.909090995788574,conv2,HRank
90,15.732954978942871,conv2,HRank
91,15.755681991577148,conv2,HRank
92,14.863636016845703,conv2,HRank
93,15.971590995788574,conv2,HRank
94,15.931818008422852,conv2,HRank
95,15.738636016845703,conv2,HRank
96,15.181818008422852,conv2,HRank
97,15.602272987365723,conv2,HRank
98,15.3125,conv2,HRank
99,14.397727012634277,conv2,HRank
100,15.676136016845703,conv2,HRank
101,12.818181991577148,conv2,HRank
102,15.460227012634277,conv2,HRank
103,14.715909004211426,conv2,HRank
104,15.284090995788574,conv2,HRank
105,15.835227012634277,conv2,HRank
106,14.880681991577148,conv2,HRank
107,11.352272987365723,conv2,HRank
108,13.982954978942871,conv2,HRank
109,15.090909004211426,conv2,HRank
110,13.130681991577148,conv2,HRank
111,14.926136016845703,conv2,HRank
112,13.420454978942871,conv2,HRank
113,15.494318008422852,conv2,HRank
114,15.755681991577148,conv2,HRank
115,15.9375,conv2,HRank
116,15.772727012634277,conv2,HRank
117,15.965909004211426,conv2,HRank
118,14.477272987365723,conv2,HRank
119,15.386363983154297,conv2,HRank
120,15.857954978942871,conv2,HRank
121,14.892045021057129,conv2,HRank
122,15.681818008422852,conv2,HRank
123,14.767045021057129,conv2,HRank
124,15.738636016845703,conv2,HRank
125,14.5625,conv2,HRank
126,15.380681991577148,conv2,HRank
127,15.051136016845703,conv2,HRank
128,14.3125,conv3,HRank
129,15.153409004211426,conv3,HRank
130,10.869318008422852,conv3,HRank
131,13.988636016845703,conv3,HRank
132,8.357954978942871,conv3,HRank
133,13.823863983154297,conv3,HRank
134,9.880681991577148,conv3,HRank
135,14.204545021057129,conv3,HRank
136,11.613636016845703,conv3,HRank
137,11.261363983154297,conv3,HRank
138,13.8125,conv3,HRank
139,15.642045021057129,conv3,HRank
140,4.5397725105285645,conv3,HRank
141,13.465909004211426,conv3,HRank
142,13.829545021057129,conv3,HRank
143,15.278409004211426,conv3,HRank
144,13.676136016845703,conv3,HRank
145,14.545454978942871,conv3,HRank
146,15.426136016845703,conv3,HRank
147,14.988636016845703,conv3,HRank
148,14.443181991577148,conv3,HRank
149,15.085227012634277,conv3,HRank
150,7.715909004211426,conv3,HRank
151,14.539772987365723,conv3,HRank
152,14.028409004211426,conv3,HRank
153,13.914772987365723,conv3,HRank
154,14.778409004211426,conv3,HRank
155,15.653409004211426,conv3,HRank
156,12.528409004211426,conv3,HRank
157,15.602272987365723,conv3,HRank
158,12.738636016845703,conv3,HRank
159,13.971590995788574,conv3,HRank
160,14.636363983154297,conv3,HRank
161,12.840909004211426,conv3,HRank
162,14.636363983154297,conv3,HRank
163,15.301136016845703,conv3,HRank
164,15.380681991577148,conv3,HRank
165,14.1875,conv3,HRank
166,14.988636016845703,conv3,HRank
167,10.25,conv3,HRank
168,14.255681991577148,conv3,HRank
169,13.056818008422852,conv3,HRank
170,15.090909004211426,conv3,HRank
171,14.715909004211426,conv3,HRank
172,12.965909004211426,conv3,HRank
173,13.369318008422852,conv3,HRank
174,14.460227012634277,conv3,HRank
175,11.625,conv3,HRank
176,15.073863983154297,conv3,HRank
177,13.784090995788574,conv3,HRank
178,13.482954978942871,conv3,HRank
179,15.022727012634277,conv3,HRank
180,14.505681991577148,conv3,HRank
181,13.539772987365723,conv3,HRank
182,13.829545021057129,conv3,HRank
183,11.886363983154297,conv3,HRank
184,15.153409004211426,conv3,HRank
185,13.244318008422852,conv3,HRank
186,14.659090995788574,conv3,HRank
187,13.863636016845703,conv3,HRank
188,14.397727012634277,conv3,HRank
189,9.255681991577148,conv3,HRank
190,14.863636016845703,conv3,HRank
191,13.488636016845703,conv3,HRank
192,14.596590995788574,conv3,HRank
193,9.494318008422852,conv3,HRank
194,14.517045021057129,conv3,HRank
195,14.147727012634277,conv3,HRank
196,13.460227012634277,conv3,HRank
197,13.602272987365723,conv3,HRank
198,15.517045021057129,conv3,HRank
199,14.306818008422852,conv3,HRank
200,14.5,conv3,HRank
201,13.431818008422852,conv3,HRank
202,14.323863983154297,conv3,HRank
203,14.420454978942871,conv3,HRank
204,15.147727012634277,conv3,HRank
205,14.551136016845703,conv3,HRank
206,15.210227012634277,conv3,HRank
207,13.693181991577148,conv3,HRank
208,14.215909004211426,conv3,HRank
209,14.448863983154297,conv3,HRank
210,14.357954978942871,conv3,HRank
211,14.829545021057129,conv3,HRank
212,15.147727012634277,conv3,HRank
213,15.210227012634277,conv3,HRank
214,13.761363983154297,conv3,HRank
215,15.375,conv3,HRank
216,14.801136016845703,conv3,HRank
217,13.267045021057129,conv3,HRank
218,14.8125,conv3,HRank
219,11.721590995788574,conv3,HRank
220,14.897727012634277,conv3,HRank
221,13.3125,conv3,HRank
222,7.994318008422852,conv3,HRank
223,15.426136016845703,conv3,HRank
224,11.698863983154297,conv3,HRank
225,15.085227012634277,conv3,HRank
226,12.926136016845703,conv3,HRank
227,12.454545021057129,conv3,HRank
228,14.039772987365723,conv3,HRank
229,13.744318008422852,conv3,HRank
230,15.181818008422852,conv3,HRank
231,9.613636016845703,conv3,HRank
232,15.278409004211426,conv3,HRank
233,14.835227012634277,conv3,HRank
234,13.761363983154297,conv3,HRank
235,14.397727012634277,conv3,HRank
236,10.943181991577148,conv3,HRank
237,13.863636016845703,conv3,HRank
238,12.914772987365723,conv3,HRank
239,15.159090995788574,conv3,HRank
240,14.380681991577148,conv3,HRank
241,15.181818008422852,conv3,HRank
242,13.590909004211426,conv3,HRank
243,12.477272987365723,conv3,HRank
244,13.534090995788574,conv3,HRank
245,13.778409004211426,conv3,HRank
246,13.011363983154297,conv3,HRank
247,14.045454978942871,conv3,HRank
248,14.028409004211426,conv3,HRank
249,14.409090995788574,conv3,HRank
250,12.840909004211426,conv3,HRank
251,15.721590995788574,conv3,HRank
252,11.403409004211426,conv3,HRank
253,13.880681991577148,conv3,HRank
254,13.625,conv3,HRank
255,12.573863983154297,conv3,HRank
256,6.948863506317139,conv4,HRank
257,7.267045497894287,conv4,HRank
258,6.994318008422852,conv4,HRank
259,7.528409004211426,conv4,HRank
260,6.994318008422852,conv4,HRank
261,7.2272725105285645,conv4,HRank
262,7.556818008422852,conv4,HRank
263,6.943181991577148,conv4,HRank
264,7.2897725105285645,conv4,HRank
265,7.2727274894714355,conv4,HRank
266,6.369318008422852,conv4,HRank
267,7.011363506317139,conv4,HRank
268,6.909090995788574,conv4,HRank
269,7.096590995788574,conv4,HRank
270,7.1647725105285645,conv4,HRank
271,7.159090995788574,conv4,HRank
272,5.4602274894714355,conv4,HRank
273,6.761363506317139,conv4,HRank
274,6.8352274894714355,conv4,HRank
275,6.375,conv4,HRank
276,6.988636493682861,conv4,HRank
277,6.096590995788574,conv4,HRank
278,7.232954502105713,conv4,HRank
279,7.75,conv4,HRank
280,6.528409004211426,conv4,HRank
281,5.659090995788574,conv4,HRank
282,6.375,conv4,HRank
283,5.2727274894714355,conv4,HRank
284,6.357954502105713,conv4,HRank
285,6.295454502105713,conv4,HRank
286,6.6477274894714355,conv4,HRank
287,6.795454502105713,conv4,HRank
288,6.386363506317139,conv4,HRank
289,7.846590995788574,conv4,HRank
290,7.073863506317139,conv4,HRank
291,7.0,conv4,HRank
292,6.698863506317139,conv4,HRank
293,6.511363506317139,conv4,HRank
294,6.6875,conv4,HRank
295,6.869318008422852,conv4,HRank
296,6.994318008422852,conv4,HRank
297,7.028409004211426,conv4,HRank
298,7.6022725105285645,conv4,HRank
299,6.318181991577148,conv4,HRank
300,6.806818008422852,conv4,HRank
301,6.767045497894287,conv4,HRank
302,7.1647725105285645,conv4,HRank
303,6.846590995788574,conv4,HRank
304,6.613636493682861,conv4,HRank
305,7.380681991577148,conv4,HRank
306,6.7102274894714355,conv4,HRank
307,6.829545497894287,conv4,HRank
308,6.761363506317139,conv4,HRank
309,7.5625,conv4,HRank
310,6.301136493682861,conv4,HRank
311,7.3977274894714355,conv4,HRank
312,7.1022725105285645,conv4,HRank
313,6.636363506317139,conv4,HRank
314,6.8125,conv4,HRank
