Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.062,0.00,0.00,0.00,0.355,0.414,0.007,0.095,0.046,0.020,304
Client   1,0.112,0.00,0.052,0.00,0.052,0.335,0.004,0.445,0.00,0.00,553
Client   2,0.398,0.004,0.022,0.108,0.00,0.169,0.082,0.217,0.00,0.00,502
Client   3,0.654,0.015,0.002,0.006,0.322,0.00,0.00,0.00,0.00,0.00,518
Client   4,0.012,0.012,0.00,0.00,0.141,0.063,0.014,0.010,0.010,0.738,504
Client   5,0.006,0.164,0.077,0.190,0.042,0.206,0.212,0.006,0.035,0.061,311
Client   6,0.043,0.010,0.140,0.007,0.107,0.171,0.00,0.040,0.482,0.00,299
Client   7,0.006,0.023,0.971,0.00,0.00,0.00,0.00,0.00,0.00,0.00,618
Client   8,0.008,0.424,0.041,0.061,0.449,0.004,0.004,0.004,0.004,0.00,245
Client   9,0.009,0.003,0.263,0.115,0.263,0.003,0.00,0.00,0.343,0.00,676
Client  10,0.220,0.114,0.002,0.156,0.002,0.034,0.274,0.198,0.00,0.00,500
Client  11,0.031,0.005,0.481,0.089,0.004,0.004,0.063,0.324,0.00,0.00,553
Client  12,0.004,0.008,0.004,0.004,0.466,0.490,0.00,0.004,0.016,0.004,247
Client  13,0.00,0.024,0.047,0.090,0.00,0.004,0.056,0.593,0.187,0.00,535
Client  14,0.203,0.00,0.001,0.018,0.061,0.018,0.001,0.016,0.066,0.615,670
Client  15,0.010,0.022,0.003,0.197,0.467,0.190,0.003,0.044,0.013,0.051,315
Client  16,0.088,0.010,0.057,0.625,0.033,0.00,0.00,0.010,0.002,0.174,419
Client  17,0.775,0.180,0.045,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512
Client  18,0.00,0.00,0.019,0.035,0.145,0.129,0.672,0.00,0.00,0.00,854
Client  19,0.006,0.690,0.304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,670
Client  20,0.007,0.304,0.033,0.00,0.077,0.087,0.007,0.023,0.462,0.00,299
Client  21,0.125,0.093,0.301,0.00,0.021,0.339,0.00,0.024,0.087,0.010,289
Client  22,0.039,0.030,0.032,0.025,0.873,0.00,0.00,0.00,0.00,0.00,559
Client  23,0.00,0.006,0.029,0.871,0.004,0.031,0.059,0.00,0.00,0.00,512
Client  24,0.294,0.019,0.00,0.019,0.378,0.149,0.099,0.00,0.00,0.042,262
Client  25,0.053,0.013,0.107,0.008,0.203,0.00,0.505,0.083,0.003,0.024,374
Client  26,0.00,0.411,0.002,0.128,0.00,0.004,0.00,0.00,0.344,0.111,523
Client  27,0.00,0.003,0.435,0.015,0.273,0.274,0.00,0.00,0.00,0.00,682
Client  28,0.201,0.017,0.006,0.172,0.076,0.018,0.079,0.002,0.004,0.426,542
Client  29,0.045,0.008,0.458,0.031,0.005,0.045,0.00,0.006,0.122,0.280,622
Client  30,0.022,0.008,0.399,0.005,0.003,0.003,0.227,0.314,0.00,0.019,366
Client  31,0.607,0.158,0.074,0.049,0.012,0.015,0.00,0.052,0.005,0.027,405
Client  32,0.011,0.005,0.032,0.102,0.198,0.561,0.032,0.021,0.00,0.037,187
Client  33,0.355,0.027,0.011,0.00,0.00,0.061,0.224,0.321,0.00,0.00,557
Client  34,0.361,0.00,0.038,0.00,0.016,0.585,0.00,0.00,0.00,0.00,692
Client  35,0.050,0.560,0.00,0.234,0.004,0.004,0.00,0.148,0.00,0.00,500
Client  36,0.009,0.022,0.020,0.317,0.00,0.007,0.616,0.009,0.00,0.00,448
Client  37,0.035,0.160,0.185,0.00,0.010,0.194,0.002,0.057,0.107,0.250,599
Client  38,0.711,0.102,0.011,0.00,0.004,0.015,0.008,0.019,0.124,0.008,266
Client  39,0.089,0.070,0.154,0.009,0.678,0.00,0.00,0.00,0.00,0.00,540
Client  40,0.049,0.163,0.036,0.752,0.00,0.00,0.00,0.00,0.00,0.00,589
Client  41,0.002,0.169,0.023,0.053,0.485,0.032,0.006,0.019,0.00,0.211,474
Client  42,0.040,0.007,0.00,0.155,0.096,0.125,0.337,0.013,0.195,0.033,303
Client  43,0.009,0.002,0.002,0.057,0.118,0.115,0.698,0.00,0.00,0.00,636
Client  44,0.017,0.067,0.00,0.656,0.00,0.079,0.003,0.003,0.067,0.108,343
Client  45,0.006,0.00,0.356,0.117,0.233,0.010,0.072,0.205,0.00,0.00,623
Client  46,0.078,0.00,0.013,0.141,0.018,0.035,0.010,0.222,0.475,0.008,396
Client  47,0.002,0.205,0.610,0.013,0.004,0.052,0.114,0.00,0.00,0.00,536
Client  48,0.012,0.087,0.009,0.006,0.010,0.078,0.111,0.022,0.665,0.00,908
Client  49,0.008,0.132,0.602,0.008,0.099,0.013,0.138,0.00,0.00,0.00,523
Client  50,0.162,0.210,0.009,0.025,0.014,0.028,0.005,0.032,0.514,0.00,562
Client  51,0.00,0.041,0.081,0.041,0.034,0.800,0.00,0.00,0.003,0.00,320
Client  52,0.002,0.271,0.127,0.00,0.379,0.00,0.023,0.198,0.00,0.00,575
Client  53,0.007,0.031,0.001,0.002,0.001,0.047,0.022,0.006,0.00,0.883,1847
Client  54,0.001,0.00,0.005,0.077,0.026,0.007,0.065,0.00,0.820,0.00,743
Client  55,0.061,0.257,0.056,0.171,0.006,0.024,0.001,0.016,0.00,0.406,817
Client  56,0.006,0.028,0.300,0.003,0.058,0.579,0.017,0.008,0.00,0.003,363
Client  57,0.00,0.003,0.053,0.002,0.080,0.003,0.304,0.554,0.00,0.00,879
Client  58,0.307,0.00,0.049,0.026,0.504,0.00,0.031,0.083,0.00,0.00,508
Client  59,0.242,0.00,0.014,0.024,0.314,0.034,0.024,0.266,0.044,0.038,293
Client  60,0.132,0.429,0.027,0.00,0.00,0.049,0.00,0.187,0.165,0.011,182
Client  61,0.00,0.007,0.007,0.002,0.011,0.009,0.029,0.020,0.00,0.916,454
Client  62,0.620,0.112,0.010,0.010,0.247,0.00,0.00,0.00,0.00,0.00,590
Client  63,0.398,0.006,0.060,0.00,0.002,0.004,0.526,0.00,0.004,0.00,500
Client  64,0.204,0.00,0.032,0.078,0.074,0.001,0.00,0.610,0.00,0.00,677
Client  65,0.007,0.343,0.012,0.128,0.114,0.046,0.082,0.005,0.039,0.225,414
Client  66,0.001,0.00,0.008,0.101,0.015,0.012,0.021,0.001,0.842,0.00,1019
Client  67,0.180,0.241,0.003,0.009,0.167,0.022,0.00,0.372,0.003,0.003,323
Client  68,0.002,0.036,0.179,0.016,0.291,0.00,0.456,0.00,0.016,0.004,447
Client  69,0.046,0.328,0.142,0.018,0.193,0.00,0.124,0.110,0.011,0.028,436
Client  70,0.156,0.00,0.080,0.153,0.017,0.003,0.184,0.00,0.00,0.406,288
Client  71,0.060,0.002,0.137,0.451,0.024,0.006,0.014,0.185,0.121,0.00,503
Client  72,0.005,0.126,0.00,0.387,0.015,0.121,0.055,0.256,0.00,0.035,199
Client  73,0.00,0.086,0.027,0.00,0.048,0.838,0.00,0.00,0.00,0.00,625
Client  74,0.011,0.307,0.003,0.065,0.054,0.00,0.003,0.199,0.119,0.240,371
Client  75,0.00,0.010,0.003,0.027,0.075,0.027,0.085,0.00,0.766,0.007,295
Client  76,0.013,0.054,0.00,0.633,0.011,0.00,0.289,0.00,0.00,0.00,553
Client  77,0.003,0.347,0.00,0.256,0.025,0.006,0.193,0.039,0.132,0.00,363
Client  78,0.225,0.115,0.011,0.046,0.001,0.602,0.00,0.00,0.00,0.00,739
Client  79,0.020,0.062,0.023,0.039,0.007,0.579,0.076,0.00,0.00,0.194,304
Client  80,0.021,0.003,0.00,0.001,0.129,0.009,0.001,0.836,0.00,0.00,775
Client  81,0.00,0.062,0.053,0.098,0.031,0.020,0.004,0.272,0.00,0.462,552
Client  82,0.00,0.011,0.016,0.016,0.021,0.00,0.061,0.137,0.702,0.037,379
Client  83,0.00,0.00,0.091,0.004,0.056,0.582,0.267,0.00,0.00,0.00,558
Client  84,0.109,0.151,0.249,0.009,0.049,0.014,0.009,0.180,0.231,0.00,350
Client  85,0.074,0.00,0.00,0.005,0.302,0.371,0.007,0.109,0.097,0.035,431
Client  86,0.156,0.090,0.086,0.243,0.017,0.306,0.00,0.003,0.100,0.00,301
Client  87,0.055,0.009,0.002,0.253,0.160,0.00,0.139,0.082,0.003,0.297,582
Client  88,0.009,0.549,0.016,0.426,0.00,0.00,0.00,0.00,0.00,0.00,559
Client  89,0.003,0.022,0.006,0.397,0.00,0.198,0.339,0.030,0.00,0.006,363
Client  90,0.041,0.068,0.008,0.008,0.00,0.00,0.727,0.00,0.128,0.019,366
Client  91,0.022,0.006,0.069,0.003,0.154,0.003,0.561,0.169,0.013,0.00,319
Client  92,0.148,0.00,0.573,0.00,0.066,0.066,0.005,0.003,0.079,0.061,393
Client  93,0.027,0.111,0.002,0.183,0.171,0.00,0.119,0.369,0.007,0.010,404
Client  94,0.367,0.318,0.00,0.315,0.00,0.00,0.00,0.00,0.00,0.00,638
Client  95,0.035,0.059,0.145,0.00,0.006,0.008,0.043,0.075,0.595,0.033,509
Client  96,0.019,0.589,0.012,0.025,0.00,0.354,0.00,0.00,0.00,0.00,565
Client  97,0.00,0.00,0.217,0.00,0.068,0.009,0.276,0.430,0.00,0.00,768
Client  98,0.534,0.325,0.054,0.087,0.00,0.00,0.00,0.00,0.00,0.00,504
Client  99,0.022,0.007,0.230,0.022,0.022,0.119,0.244,0.126,0.193,0.015,135
