,Test Accuracy,Round,Method
0,3.6458333333333335,3,fedavg
1,5.208333333333334,6,fedavg
2,6.25,9,fedavg
3,9.375,12,fedavg
4,6.25,15,fedavg
5,7.291666666666667,18,fedavg
6,6.25,21,fedavg
7,9.375,24,fedavg
8,11.979166666666668,27,fedavg
9,11.458333333333332,30,fedavg
10,15.104166666666666,33,fedavg
11,22.916666666666664,36,fedavg
12,26.041666666666668,39,fedavg
13,15.729166666666668,42,fedavg
14,15.729166666666668,45,fedavg
15,17.29166666666667,48,fedavg
16,18.85416666666667,51,fedavg
17,18.85416666666667,54,fedavg
18,24.58333333333333,57,fedavg
19,21.97916666666667,60,fedavg
20,25.10416666666667,63,fedavg
21,26.66666666666667,66,fedavg
22,32.39583333333333,69,fedavg
23,31.35416666666667,72,fedavg
24,35.520833333333336,75,fedavg
25,35.0,78,fedavg
26,29.79166666666667,81,fedavg
27,34.47916666666667,84,fedavg
28,42.8125,87,fedavg
29,36.041666666666664,90,fedavg
30,41.25,93,fedavg
31,43.333333333333336,96,fedavg
32,38.125,99,fedavg
33,42.291666666666664,102,fedavg
34,40.208333333333336,105,fedavg
35,46.979166666666664,108,fedavg
36,45.416666666666664,111,fedavg
37,43.854166666666664,114,fedavg
38,44.375,117,fedavg
39,49.58333333333334,120,fedavg
40,43.854166666666664,123,fedavg
41,50.10416666666666,126,fedavg
42,51.14583333333334,129,fedavg
43,53.75,132,fedavg
44,46.458333333333336,135,fedavg
45,55.3125,138,fedavg
46,53.75,141,fedavg
47,53.75,144,fedavg
48,50.10416666666666,147,fedavg
49,54.79166666666666,150,fedavg
50,2.604166666666667,3,hrank
51,3.125,6,hrank
52,5.208333333333334,9,hrank
53,10.416666666666668,12,hrank
54,7.8125,15,hrank
55,9.375,18,hrank
56,9.375,21,hrank
57,10.416666666666668,24,hrank
58,14.0625,27,hrank
59,13.020833333333334,30,hrank
60,17.8125,33,hrank
61,22.916666666666664,36,hrank
62,17.29166666666667,39,hrank
63,15.729166666666668,42,hrank
64,19.89583333333333,45,hrank
65,19.89583333333333,48,hrank
66,22.5,51,hrank
67,20.9375,54,hrank
68,29.79166666666667,57,hrank
69,20.41666666666667,60,hrank
70,23.54166666666667,63,hrank
71,28.75,66,hrank
72,25.10416666666667,69,hrank
73,34.47916666666667,72,hrank
74,37.604166666666664,75,hrank
75,32.91666666666667,78,hrank
76,31.875,81,hrank
77,37.604166666666664,84,hrank
78,37.604166666666664,87,hrank
79,40.729166666666664,90,hrank
80,45.9375,93,hrank
81,43.854166666666664,96,hrank
82,39.6875,99,hrank
83,39.6875,102,hrank
84,42.8125,105,hrank
85,46.458333333333336,108,hrank
86,47.5,111,hrank
87,41.770833333333336,114,hrank
88,46.458333333333336,117,hrank
89,49.58333333333334,120,hrank
90,45.416666666666664,123,hrank
91,43.854166666666664,126,hrank
92,53.22916666666666,129,hrank
93,48.541666666666664,132,hrank
94,51.14583333333334,135,hrank
95,54.27083333333334,138,hrank
96,49.58333333333334,141,hrank
97,51.14583333333334,144,hrank
98,50.625,147,hrank
99,53.22916666666666,150,hrank
100,9.895833333333332,3,calim
101,5.729166666666666,6,calim
102,8.854166666666668,9,calim
103,13.020833333333334,12,calim
104,9.375,15,calim
105,15.104166666666666,18,calim
106,15.104166666666666,21,calim
107,14.0625,24,calim
108,19.270833333333336,27,calim
109,20.3125,30,calim
110,26.041666666666668,33,calim
111,27.083333333333332,36,calim
112,29.6875,39,calim
113,29.166666666666668,42,calim
114,21.97916666666667,45,calim
115,25.625,48,calim
116,25.625,51,calim
117,29.79166666666667,54,calim
118,34.47916666666667,57,calim
119,33.95833333333333,60,calim
120,37.083333333333336,63,calim
121,40.208333333333336,66,calim
122,40.729166666666664,69,calim
123,44.895833333333336,72,calim
124,42.291666666666664,75,calim
125,38.125,78,calim
126,41.770833333333336,81,calim
127,48.020833333333336,84,calim
128,45.416666666666664,87,calim
129,48.541666666666664,90,calim
130,46.979166666666664,93,calim
131,49.58333333333334,96,calim
132,47.5,99,calim
133,46.979166666666664,102,calim
134,51.66666666666666,105,calim
135,49.58333333333334,108,calim
136,52.70833333333334,111,calim
137,53.75,114,calim
138,54.27083333333334,117,calim
139,57.91666666666666,120,calim
140,57.39583333333334,123,calim
141,55.3125,126,calim
142,52.1875,129,calim
143,56.35416666666666,132,calim
144,57.91666666666666,135,calim
145,56.35416666666666,138,calim
146,57.39583333333334,141,calim
147,59.47916666666666,144,calim
148,61.5625,147,calim
149,59.47916666666666,150,calim
