,Loss,Round,Method
0,0.05842615528540178,1,hrank
1,0.05039804203040672,2,hrank
2,0.04640626230023124,3,hrank
3,0.04357544321453932,4,hrank
4,0.0421022887934338,5,hrank
5,0.04136304241238219,6,hrank
6,0.04062762845194701,7,hrank
7,0.03932670684474887,8,hrank
8,0.03900211315714952,9,hrank
9,0.037792673390923126,10,hrank
10,0.03750510999199116,11,hrank
11,0.03755186475587614,12,hrank
12,0.037257366672609794,13,hrank
13,0.03613165348316684,14,hrank
14,0.036281353144934685,15,hrank
15,0.03586252643303438,16,hrank
16,0.0358474360722484,17,hrank
17,0.03523759724515857,18,hrank
18,0.035337515965555656,19,hrank
19,0.035021156862829673,20,hrank
20,0.03435777884089586,21,hrank
21,0.03433259768467961,22,hrank
22,0.034390471932111366,23,hrank
23,0.03431986402155775,24,hrank
24,0.03390827921755386,25,hrank
25,0.034013050297896065,26,hrank
26,0.03372007602769317,27,hrank
27,0.0333179495664257,28,hrank
28,0.033508833328431305,29,hrank
29,0.03339530115552021,30,hrank
30,0.03321436956299074,31,hrank
31,0.03318132883445783,32,hrank
32,0.03320455319727912,33,hrank
33,0.03281173234184583,34,hrank
34,0.03270427431121017,35,hrank
35,0.03297593066412391,36,hrank
36,0.03246296027844602,37,hrank
37,0.03259385230414795,38,hrank
38,0.0323394283539418,39,hrank
39,0.03250160700444019,40,hrank
40,0.031861593100157654,41,hrank
41,0.032179501415653664,42,hrank
42,0.03221145402075666,43,hrank
43,0.032451721811384865,44,hrank
44,0.03186356598003344,45,hrank
45,0.03163158865363309,46,hrank
46,0.03170045679717353,47,hrank
47,0.0320849357116403,48,hrank
48,0.03153320520438931,49,hrank
49,0.031658771080952705,50,hrank
50,0.05832423506812616,1,random
51,0.05057180108446063,2,random
52,0.04634450466343851,3,random
53,0.04367765321424513,4,random
54,0.04229909012263471,5,random
55,0.04157490475159703,6,random
56,0.039989490852211464,7,random
57,0.03892419317906553,8,random
58,0.03834955755508307,9,random
59,0.03785206445238807,10,random
60,0.037658144691676804,11,random
61,0.03744883078968886,12,random
62,0.036843422913190094,13,random
63,0.03694947696093357,14,random
64,0.03646897772947947,15,random
65,0.035795897471182274,16,random
66,0.03553919911836133,17,random
67,0.03577956704027725,18,random
68,0.0344129613403118,19,random
69,0.03478870845653794,20,random
70,0.035013709725304085,21,random
71,0.034703224558721886,22,random
72,0.03470097866022226,23,random
73,0.03440359460585045,24,random
74,0.034822191591515686,25,random
75,0.03412271403905117,26,random
76,0.034259392795237625,27,random
77,0.03379142628700444,28,random
78,0.03391132277972771,29,random
79,0.033658340008872925,30,random
80,0.03322045397803639,31,random
81,0.033761883888280754,32,random
82,0.03303244151175022,33,random
83,0.03297618245988181,34,random
84,0.033032424239949745,35,random
85,0.03300438781805111,36,random
86,0.03257333871090051,37,random
87,0.032672408177997124,38,random
88,0.032502969839807716,39,random
89,0.032673966252442566,40,random
90,0.03270636414262382,41,random
91,0.0324498237759778,42,random
92,0.03276633121299021,43,random
93,0.03202563247671633,44,random
94,0.03214961550000942,45,random
95,0.032134576164411774,46,random
96,0.031882432543418625,47,random
97,0.03224018532218355,48,random
98,0.032454464358813835,49,random
99,0.03206315478592208,50,random
