,Test Accuracy,Round,Method
0,19.895833333333332,10,fedavg
1,24.6875,20,fedavg
2,26.822916666666668,30,fedavg
3,24.114583333333336,40,fedavg
4,29.635416666666668,50,fedavg
5,30.885416666666664,60,fedavg
6,28.333333333333332,70,fedavg
7,29.0625,80,fedavg
8,29.947916666666664,90,fedavg
9,30.833333333333336,100,fedavg
10,30.416666666666664,110,fedavg
11,29.739583333333336,120,fedavg
12,29.53125,130,fedavg
13,26.875,140,fedavg
14,23.281250000000007,150,fedavg
15,27.65625,160,fedavg
16,29.791666666666668,170,fedavg
17,27.604166666666668,180,fedavg
18,28.333333333333332,190,fedavg
19,29.739583333333332,200,fedavg
20,27.239583333333332,210,fedavg
21,30.3125,220,fedavg
22,30.15625,230,fedavg
23,29.114583333333332,240,fedavg
24,29.791666666666668,250,fedavg
25,28.854166666666664,260,fedavg
26,29.84375,270,fedavg
27,32.291666666666664,280,fedavg
28,31.510416666666664,290,fedavg
29,38.59375000000001,300,fedavg
30,39.11458333333333,310,fedavg
31,39.21875000000001,320,fedavg
32,32.91666666666667,330,fedavg
33,37.916666666666664,340,fedavg
34,42.29166666666667,350,fedavg
35,40.572916666666664,360,fedavg
36,41.92708333333333,370,fedavg
37,44.427083333333336,380,fedavg
38,41.354166666666664,390,fedavg
39,37.5,400,fedavg
40,47.291666666666664,410,fedavg
41,41.875,420,fedavg
42,41.61458333333334,430,fedavg
43,47.96875,440,fedavg
44,41.770833333333336,450,fedavg
45,42.604166666666664,460,fedavg
46,44.16666666666667,470,fedavg
47,48.35416666666667,480,fedavg
48,50.86458333333334,490,fedavg
49,52.71875,500,fedavg
50,22.239583333333332,10,hrank
51,26.09375,20,hrank
52,27.5,30,hrank
53,32.083333333333336,40,hrank
54,32.96875,50,hrank
55,29.21875,60,hrank
56,31.458333333333325,70,hrank
57,34.322916666666664,80,hrank
58,30.78125,90,hrank
59,32.03125,100,hrank
60,31.197916666666668,110,hrank
61,29.270833333333336,120,hrank
62,31.145833333333332,130,hrank
63,29.53125,140,hrank
64,23.489583333333336,150,hrank
65,29.791666666666664,160,hrank
66,32.29166666666667,170,hrank
67,28.906249999999993,180,hrank
68,27.552083333333336,190,hrank
69,27.135416666666668,200,hrank
70,29.479166666666668,210,hrank
71,30.781250000000007,220,hrank
72,33.541666666666664,230,hrank
73,32.65625,240,hrank
74,31.510416666666664,250,hrank
75,31.979166666666668,260,hrank
76,32.81250000000001,270,hrank
77,29.114583333333336,280,hrank
78,32.03125,290,hrank
79,35.78125000000001,300,hrank
80,35.57291666666667,310,hrank
81,34.01041666666667,320,hrank
82,35.885416666666664,330,hrank
83,35.05208333333333,340,hrank
84,38.333333333333336,350,hrank
85,34.21874999999999,360,hrank
86,39.21875,370,hrank
87,39.42708333333333,380,hrank
88,36.87499999999999,390,hrank
89,40.93749999999999,400,hrank
90,40.98958333333333,410,hrank
91,41.30208333333333,420,hrank
92,43.43749999999999,430,hrank
93,40.41666666666667,440,hrank
94,48.12499999999999,450,hrank
95,47.03125000000001,460,hrank
96,49.49999999999999,470,hrank
97,50.78125000000001,480,hrank
98,51.29166666666667,490,hrank
99,50.916666666666664,500,hrank
100,24.479166666666664,10,calim
101,31.25,20,calim
102,40.10416666666667,30,calim
103,39.58333333333333,40,calim
104,41.14583333333333,50,calim
105,38.02083333333333,60,calim
106,40.625,70,calim
107,37.5,80,calim
108,40.625,90,calim
109,39.58333333333333,100,calim
110,37.5,110,calim
111,40.3125,120,calim
112,35.41666666666667,130,calim
113,34.89583333333333,140,calim
114,41.14583333333333,150,calim
115,37.5,160,calim
116,39.0625,170,calim
117,35.9375,180,calim
118,35.9375,190,calim
119,39.770833333333332,200,calim
120,41.29166666666667,210,calim
121,38.02083333333333,220,calim
122,37.5,230,calim
123,40.625,240,calim
124,42.1875,250,calim
125,40.10416666666667,260,calim
126,43.083333333333336,270,calim
127,39.0625,280,calim
128,43.22916666666667,290,calim
129,39.0625,300,calim
130,42.70833333333333,310,calim
131,48.4375,320,calim
132,41.14583333333333,330,calim
133,40.10416666666667,340,calim
134,45.83333333333333,350,calim
135,43.75,360,calim
136,46.0,370,calim
137,44.645833333333336,380,calim
138,40.625,390,calim
139,44.27083333333333,400,calim
140,46.520833333333336,410,calim
141,47.95833333333333,420,calim
142,47.8125,430,calim
143,48.729166666666664,440,calim
144,49.0,450,calim
145,49.645833333333336,460,calim
146,51.291666666666664,470,calim
147,51.9375,480,calim
148,52.166666666666664,490,calim
149,51.041666666666664,500,calim
